Accession,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3
NP_001276052.1,38.725,422.59999999999997,172.76666666666665,30.875000000000004,422.59999999999997,172.76666666666665,30.875000000000004,422.59999999999997,188.95000000000002,30.875000000000004,584.9583333333333,188.95000000000002
XP_005249786.1,24833.56666666667,26986.133333333335,24164.241666666665,25428.61666666667,27890.899999999994,24164.241666666665,25867.533333333336,29601.466666666664,24833.56666666667,22563.158333333336,25867.533333333336,22089.941666666666
NP_064505.1,5261.441666666667,5396.625,4516.408333333334,5882.558333333333,5937.483333333334,5083.916666666667,5843.458333333335,5843.458333333335,4933.15,5287.508333333334,5396.625,4873.708333333333
XP_005245768.1,13218.383333333333,11835.199999999999,8997.474999999999,13114.6,12153.683333333332,9580.866666666667,13766.699999999999,12244.833333333334,9726.425000000001,12761.858333333332,11314.225,8615.741666666667
NP_006077.2,1401.3916666666667,2312.6083333333336,2312.6083333333336,1401.3916666666667,2967.4833333333336,2312.6083333333336,1401.3916666666667,2967.4833333333336,2312.6083333333336,1401.3916666666667,3235.0916666666667,2312.6083333333336
NP_002131.2,15599.916666666664,15018.474999999999,12902.491666666669,15281.308333333332,14683.733333333332,12470.074999999999,15281.308333333332,14531.766666666665,12761.858333333332,15281.308333333332,15018.474999999999,12403.575000000003
NP_112420.1,22089.941666666666,14258.366666666667,14258.366666666667,21787.308333333334,13346.566666666666,14020.833333333334,23802.908333333336,13766.699999999999,14020.833333333334,20208.374999999996,14020.833333333334,13766.699999999999
XP_016858683.1,7044.391666666666,6322.625,5287.508333333334,7593.208333333333,6855.191666666667,5882.558333333333,8215.05,7172.666666666667,6152.575000000001,7044.391666666666,6388.450000000001,5148.516666666666
NP_006000.2,864.4750000000003,864.4750000000003,1401.3916666666667,864.4750000000003,864.4750000000003,1401.3916666666667,864.4750000000003,864.4750000000003,1401.3916666666667,584.9583333333333,864.4750000000003,1401.3916666666667
NP_001269633.1,8716.816666666668,8515.625000000002,12153.683333333332,9361.533333333333,9580.866666666667,13218.383333333333,9062.883333333333,9494.474999999999,13114.6,8860.183333333332,8997.474999999999,13573.475
NP_001257376.1,4050.25,5148.516666666666,7593.208333333333,4637.708333333333,6197.083333333333,9208.466666666665,5329.925,7098.616666666666,9802.291666666666,4291.208333333333,5450.191666666667,7771.416666666665
NP_001339990.1,10474.8,11440.6,12761.858333333332,10674.7,11440.6,12244.833333333334,9950.483333333334,10949.891666666668,11570.141666666668,10474.8,11835.199999999999,12761.858333333332
XP_024308601.1,4158.75,4227.916666666667,5509.866666666666,4050.25,3988.2833333333333,4873.708333333333,4362.216666666666,4050.25,5261.441666666667,4637.708333333333,4589.791666666666,6026.691666666667
NP_060918.2,3552.2666666666664,3434.958333333334,4158.75,3434.958333333334,3235.0916666666667,3988.2833333333333,3235.0916666666667,3091.4250000000006,3837.2499999999995,3665.991666666667,3434.958333333334,4449.1916666666675
NP_001091868.1,4667.383333333334,3738.2000000000007,3738.2000000000007,4449.1916666666675,3434.958333333334,3665.991666666667,4449.1916666666675,3552.2666666666664,3738.2000000000007,4743.7,3884.9500000000007,3837.2499999999995
NP_908932.1,15018.474999999999,15599.916666666664,15847.483333333332,14886.500000000002,14258.366666666667,15018.474999999999,15018.474999999999,14683.733333333332,15847.483333333332,16785.7,16469.858333333334,17569.68333333333
NP_005262.1,16128.449999999999,14886.500000000002,10200.341666666667,17569.68333333333,15599.916666666664,11440.6,17569.68333333333,15847.483333333332,11835.199999999999,15599.916666666664,14683.733333333332,9950.483333333334
NP_001407.1,9802.291666666666,12598.891666666665,10331.125,8860.183333333332,11158.391666666665,9361.533333333333,8860.183333333332,11314.225,9208.466666666665,9726.425000000001,13346.566666666666,10949.891666666668
NP_001290043.1,18343.8,20208.374999999996,19204.516666666666,15847.483333333332,18683.083333333332,18683.083333333332,18343.8,22089.941666666666,20931.775,24833.56666666667,27464.816666666666,29601.466666666664
NP_005989.3,7593.208333333333,6908.641666666666,8716.816666666668,7098.616666666666,6322.625,8299.55,6633.600000000001,5882.558333333333,7771.416666666665,7521.358333333333,6855.191666666667,9062.883333333333
NP_001095868.1,146.19166666666666,71.21666666666668,110.73333333333333,172.76666666666665,30.875000000000004,146.19166666666666,146.19166666666666,30.875000000000004,146.19166666666666,146.19166666666666,30.875000000000004,110.73333333333333
NP_036205.1,7172.666666666667,8860.183333333332,9062.883333333333,6688.291666666665,8046.808333333333,8346.25,6197.083333333333,7346.316666666667,8299.55,6997.916666666667,8346.25,8997.474999999999
NP_001129172.1,21281.675,22563.158333333336,21281.675,19573.091666666667,21281.675,19204.516666666666,19573.091666666667,20608.30833333333,18948.15,20608.30833333333,21787.308333333334,21281.675
NP_110379.2,8117.649999999999,6855.191666666667,7279.5250000000015,7884.566666666668,6428.233333333333,7044.391666666666,7521.358333333333,6026.691666666667,6428.233333333333,8117.649999999999,6688.291666666665,7346.316666666667
NP_005909.2,14886.500000000002,13218.383333333333,16128.449999999999,15599.916666666664,14531.766666666665,16785.7,16128.449999999999,14258.366666666667,17111.6,14683.733333333332,12902.491666666669,14886.500000000002
NP_057535.1,4093.8666666666663,4093.8666666666663,3950.491666666667,3950.491666666667,3665.991666666667,3950.491666666667,3837.2499999999995,3665.991666666667,3950.491666666667,4227.916666666667,4093.8666666666663,4093.8666666666663
XP_011526432.1,20931.775,21281.675,17111.6,24164.241666666665,23154.725000000002,18948.15,22563.158333333336,22855.13333333333,17569.68333333333,19204.516666666666,20208.374999999996,15847.483333333332
NP_002620.1,6855.191666666667,6535.558333333333,7172.666666666667,6855.191666666667,6265.716666666667,7172.666666666667,7044.391666666666,6535.558333333333,7346.316666666667,7593.208333333333,6908.641666666666,7715.266666666667
NP_036565.2,6092.308333333334,4423.858333333333,4423.858333333333,6428.233333333333,4811.591666666666,4516.408333333334,6566.325,4873.708333333333,4743.7,6265.716666666667,4516.408333333334,4589.791666666666
NP_064502.9,7098.616666666666,5843.458333333335,5450.191666666667,6908.641666666666,5658.883333333334,5024.0666666666675,6789.300000000002,5509.866666666666,5083.916666666667,7172.666666666667,5937.483333333334,5396.625
XP_011543629.1,7454.891666666666,6092.308333333334,6026.691666666667,8117.649999999999,6633.600000000001,6855.191666666667,8046.808333333333,6477.908333333333,6997.916666666667,7454.891666666666,6026.691666666667,6388.450000000001
NP_001171725.1,3091.4250000000006,4050.25,4362.216666666666,2967.4833333333336,4050.25,4423.858333333333,3434.958333333334,4449.1916666666675,4589.791666666666,3235.0916666666667,4227.916666666667,4423.858333333333
NP_006421.2,5937.483333333334,6566.325,6152.575000000001,5576.275000000001,5752.766666666667,5843.458333333335,5148.516666666666,5576.275000000001,5396.625,6092.308333333334,6535.558333333333,6477.908333333333
NP_001145.1,22563.158333333336,20931.775,22563.158333333336,21281.675,19204.516666666666,20208.374999999996,20931.775,18343.8,18683.083333333332,22855.13333333333,20608.30833333333,22563.158333333336
NP_733765.1,4873.708333333333,4449.1916666666675,5083.916666666667,5148.516666666666,4667.383333333334,5261.441666666667,5024.0666666666675,4743.7,5180.733333333333,4933.15,4743.7,5024.0666666666675
XP_005252022.1,188.95000000000002,243.64166666666665,279.7583333333333,188.95000000000002,243.64166666666665,279.7583333333333,172.76666666666665,243.64166666666665,279.7583333333333,172.76666666666665,172.76666666666665,243.64166666666665
NP_005959.2,9950.483333333334,10474.8,12598.891666666665,10200.341666666667,10474.8,12153.683333333332,10331.125,10474.8,12403.575000000003,9208.466666666665,9950.483333333334,11440.6
NP_004035.2,4362.216666666666,4637.708333333333,4715.533333333334,4158.75,4423.858333333333,4227.916666666667,3988.2833333333333,3988.2833333333333,3988.2833333333333,4516.408333333334,4423.858333333333,4516.408333333334
NP_001302466.1,15847.483333333332,16785.7,18017.26666666667,14531.766666666665,15281.308333333332,15599.916666666664,14258.366666666667,15281.308333333332,15599.916666666664,17569.68333333333,17569.68333333333,18683.083333333332
NP_001184222.1,8860.183333333332,8046.808333333333,6908.641666666666,8046.808333333333,7279.5250000000015,6908.641666666666,8716.816666666668,7771.416666666665,7172.666666666667,9361.533333333333,8860.183333333332,7973.575
XP_016883528.1,5509.866666666666,5261.441666666667,4291.208333333333,5180.733333333333,5148.516666666666,4093.8666666666663,5261.441666666667,5287.508333333334,4291.208333333333,5843.458333333335,5576.275000000001,4667.383333333334
NP_005498.1,20608.30833333333,23802.908333333336,23802.908333333336,19204.516666666666,22089.941666666666,21281.675,16469.858333333334,21787.308333333334,20208.374999999996,19573.091666666667,23802.908333333336,22855.13333333333
NP_006420.1,5329.925,5937.483333333334,5937.483333333334,5083.916666666667,5509.866666666666,5450.191666666667,4715.533333333334,5396.625,5329.925,5180.733333333333,5843.458333333335,5882.558333333333
NP_036611.2,10674.7,9950.483333333334,6535.558333333333,9802.291666666666,9494.474999999999,6092.308333333334,9802.291666666666,9208.466666666665,6197.083333333333,10949.891666666668,10200.341666666667,6758.525000000001
NP_001264153.1,8299.55,8716.816666666668,8860.183333333332,8346.25,8515.625000000002,8997.474999999999,8117.649999999999,8299.55,8997.474999999999,8515.625000000002,9062.883333333333,9802.291666666666
NP_001091974.1,7346.316666666667,7593.208333333333,8615.741666666667,7279.5250000000015,7521.358333333333,8615.741666666667,7346.316666666667,7884.566666666668,8860.183333333332,6758.525000000001,7279.5250000000015,8299.55
XP_016865310.1,19573.091666666667,18343.8,19573.091666666667,20208.374999999996,18948.15,22563.158333333336,20208.374999999996,19573.091666666667,22089.941666666666,18343.8,16785.7,18948.15
NP_003741.1,4637.708333333333,4873.708333333333,7044.391666666666,4291.208333333333,4516.408333333334,6789.300000000002,4516.408333333334,4589.791666666666,6535.558333333333,4715.533333333334,5083.916666666667,7454.891666666666
XP_006713191.1,4589.791666666666,5576.275000000001,5882.558333333333,4362.216666666666,5287.508333333334,5658.883333333334,3950.491666666667,4933.15,4811.591666666666,4449.1916666666675,5261.441666666667,5509.866666666666
NP_006383.2,6908.641666666666,6026.691666666667,6197.083333333333,7454.891666666666,6758.525000000001,6566.325,7593.208333333333,6566.325,6688.291666666665,6566.325,5752.766666666667,5752.766666666667
NP_002878.2,8997.474999999999,8117.649999999999,5843.458333333335,8515.625000000002,7454.891666666666,5752.766666666667,8299.55,7279.5250000000015,5450.191666666667,8615.741666666667,8046.808333333333,5843.458333333335
NP_005403.2,6322.625,6197.083333333333,8346.25,6758.525000000001,6566.325,8716.816666666668,6855.191666666667,6789.300000000002,9062.883333333333,6428.233333333333,6197.083333333333,8117.649999999999
NP_055752.1,3738.2000000000007,3884.9500000000007,5752.766666666667,3988.2833333333333,4093.8666666666663,6688.291666666665,4093.8666666666663,4227.916666666667,6633.600000000001,3738.2000000000007,3988.2833333333333,5937.483333333334
NP_001337407.1,17.708333333333336,188.95000000000002,584.9583333333333,17.708333333333336,188.95000000000002,584.9583333333333,17.708333333333336,146.19166666666666,584.9583333333333,17.708333333333336,188.95000000000002,584.9583333333333
NP_038203.2,5882.558333333333,4933.15,6322.625,5752.766666666667,4873.708333333333,6197.083333333333,5509.866666666666,4667.383333333334,5843.458333333335,6026.691666666667,4811.591666666666,6152.575000000001
NP_003277.1,7279.5250000000015,7771.416666666665,7884.566666666668,7771.416666666665,8346.25,8046.808333333333,7771.416666666665,8515.625000000002,8408.275,7346.316666666667,7771.416666666665,8046.808333333333
NP_001307524.1,5843.458333333335,4715.533333333334,6265.716666666667,5329.925,4449.1916666666675,5509.866666666666,5658.883333333334,4637.708333333333,5937.483333333334,5937.483333333334,4715.533333333334,6265.716666666667
NP_002798.2,2808.4,2706.2833333333333,3552.2666666666664,2706.2833333333333,2706.2833333333333,3552.2666666666664,2498.1749999999997,2498.1749999999997,3552.2666666666664,2498.1749999999997,2498.1749999999997,3552.2666666666664
NP_006576.2,6388.450000000001,7346.316666666667,6758.525000000001,6322.625,7098.616666666666,6535.558333333333,5882.558333333333,6688.291666666665,6026.691666666667,6322.625,7454.891666666666,6633.600000000001
NP_002215.2,2706.2833333333333,3091.4250000000006,2808.4,2808.4,3091.4250000000006,2808.4,2808.4,3235.0916666666667,2967.4833333333336,2706.2833333333333,2967.4833333333336,2808.4
NP_001524.2,6477.908333333333,7521.358333333333,8117.649999999999,6789.300000000002,7973.575,8215.05,6688.291666666665,7973.575,8346.25,6197.083333333333,7044.391666666666,7521.358333333333
NP_001609.2,3884.9500000000007,4589.791666666666,3988.2833333333333,3738.2000000000007,4362.216666666666,4050.25,3665.991666666667,4423.858333333333,3884.9500000000007,3950.491666666667,4637.708333333333,3884.9500000000007
NP_005991.1,584.9583333333333,1140.25,864.4750000000003,584.9583333333333,1140.25,864.4750000000003,584.9583333333333,1140.25,864.4750000000003,864.4750000000003,1140.25,1140.25
NP_004719.2,3950.491666666667,3552.2666666666664,3091.4250000000006,4227.916666666667,3738.2000000000007,3091.4250000000006,4423.858333333333,3738.2000000000007,3091.4250000000006,3988.2833333333333,3665.991666666667,2967.4833333333336
NP_000405.1,3235.0916666666667,3235.0916666666667,4227.916666666667,3235.0916666666667,3552.2666666666664,4362.216666666666,2967.4833333333336,3434.958333333334,4227.916666666667,2967.4833333333336,3091.4250000000006,3950.491666666667
NP_006810.1,7973.575,9580.866666666667,6997.916666666667,7172.666666666667,8716.816666666668,6388.450000000001,7172.666666666667,8716.816666666668,6477.908333333333,7973.575,9361.533333333333,6997.916666666667
NP_000959.2,11570.141666666668,11314.225,13573.475,11570.141666666668,11570.141666666668,12902.491666666669,10949.891666666668,10674.7,11992.16666666667,11570.141666666668,10674.7,13218.383333333333
NP_705935.1,11835.199999999999,11725.324999999999,11314.225,11314.225,11835.199999999999,11158.391666666665,11725.324999999999,12403.575000000003,12153.683333333332,11992.16666666667,12598.891666666665,11835.199999999999
NP_001337414.1,6688.291666666665,6428.233333333333,5329.925,6566.325,6152.575000000001,5180.733333333333,6388.450000000001,6152.575000000001,5148.516666666666,6789.300000000002,6477.908333333333,5576.275000000001
NP_004484.1,3434.958333333334,4362.216666666666,5180.733333333333,3665.991666666667,4589.791666666666,5937.483333333334,3884.9500000000007,4811.591666666666,5882.558333333333,3552.2666666666664,4362.216666666666,5261.441666666667
NP_001317309.1,5024.0666666666675,4667.383333333334,3235.0916666666667,4667.383333333334,4291.208333333333,3235.0916666666667,4743.7,4362.216666666666,3235.0916666666667,5083.916666666667,4667.383333333334,3235.0916666666667
XP_011532966.1,13346.566666666666,13573.475,11570.141666666668,14258.366666666667,14886.500000000002,12598.891666666665,14683.733333333332,14886.500000000002,12902.491666666669,14258.366666666667,13766.699999999999,11725.324999999999
NP_001290203.1,4811.591666666666,3950.491666666667,4743.7,4715.533333333334,3837.2499999999995,4449.1916666666675,4933.15,3884.9500000000007,4362.216666666666,4873.708333333333,4050.25,4743.7
XP_024307077.1,3837.2499999999995,4811.591666666666,4811.591666666666,3552.2666666666664,5024.0666666666675,4291.208333333333,3552.2666666666664,5024.0666666666675,4423.858333333333,3837.2499999999995,4933.15,4715.533333333334
NP_061322.2,6535.558333333333,7044.391666666666,7521.358333333333,6633.600000000001,7346.316666666667,7715.266666666667,6758.525000000001,7593.208333333333,7593.208333333333,6388.450000000001,6997.916666666667,7172.666666666667
NP_001311233.1,5287.508333333334,5180.733333333333,5148.516666666666,6197.083333333333,6026.691666666667,6152.575000000001,6152.575000000001,5937.483333333334,6092.308333333334,5329.925,5287.508333333334,5329.925
NP_001073027.1,3665.991666666667,4516.408333333334,4637.708333333333,3884.9500000000007,4933.15,4637.708333333333,4050.25,5148.516666666666,5024.0666666666675,3434.958333333334,4291.208333333333,4291.208333333333
XP_016876741.1,18683.083333333332,18948.15,20931.775,18948.15,19573.091666666667,21787.308333333334,18017.26666666667,18948.15,21281.675,17111.6,17111.6,20208.374999999996
XP_005271170.1,6265.716666666667,7884.566666666668,6428.233333333333,6026.691666666667,7715.266666666667,6265.716666666667,6428.233333333333,8408.275,7044.391666666666,6152.575000000001,7593.208333333333,6092.308333333334
NP_002941.1,8346.25,7715.266666666667,9580.866666666667,9208.466666666665,9062.883333333333,11314.225,9208.466666666665,8860.183333333332,11158.391666666665,8215.05,7715.266666666667,9726.425000000001
NP_001138303.1,17111.6,19204.516666666666,13766.699999999999,18683.083333333332,20608.30833333333,14886.500000000002,18948.15,20208.374999999996,14683.733333333332,16128.449999999999,18343.8,13346.566666666666
NP_060117.3,4449.1916666666675,3988.2833333333333,2706.2833333333333,4589.791666666666,3950.491666666667,2706.2833333333333,4589.791666666666,3950.491666666667,2808.4,4423.858333333333,3837.2499999999995,2706.2833333333333
XP_011529261.1,7715.266666666667,8346.25,9950.483333333334,6388.450000000001,7044.391666666666,8515.625000000002,6265.716666666667,6855.191666666667,8046.808333333333,7098.616666666666,7973.575,9208.466666666665
NP_976317.1,2312.6083333333336,2498.1749999999997,2498.1749999999997,2312.6083333333336,2498.1749999999997,2498.1749999999997,2312.6083333333336,2312.6083333333336,2498.1749999999997,2312.6083333333336,2706.2833333333333,2498.1749999999997
NP_002769.1,8515.625000000002,8997.474999999999,9208.466666666665,8997.474999999999,9802.291666666666,9950.483333333334,12403.575000000003,12761.858333333332,14258.366666666667,9494.474999999999,10949.891666666668,12153.683333333332
NP_001347.3,6428.233333333333,6152.575000000001,6477.908333333333,6152.575000000001,5882.558333333333,6477.908333333333,6477.908333333333,6092.308333333334,6908.641666666666,6477.908333333333,6092.308333333334,6428.233333333333
NP_057018.1,6152.575000000001,6477.908333333333,5024.0666666666675,6535.558333333333,6908.641666666666,5148.516666666666,6535.558333333333,6758.525000000001,5509.866666666666,5576.275000000001,5882.558333333333,4811.591666666666
NP_001290453.1,279.7583333333333,172.76666666666665,422.59999999999997,279.7583333333333,146.19166666666666,422.59999999999997,279.7583333333333,172.76666666666665,422.59999999999997,279.7583333333333,243.64166666666665,422.59999999999997
NP_031389.3,7771.416666666665,10200.341666666667,7771.416666666665,7346.316666666667,10331.125,7454.891666666666,7715.266666666667,10200.341666666667,7884.566666666668,7279.5250000000015,9802.291666666666,7279.5250000000015
NP_001029249.1,64140.99999999999,54640.21666666667,64140.99999999999,64140.99999999999,57883.13333333334,73046.29166666667,64140.99999999999,54640.21666666667,73046.29166666667,57883.13333333334,51887.541666666664,64140.99999999999
NP_006817.1,10331.125,9726.425000000001,8215.05,9726.425000000001,9208.466666666665,7771.416666666665,9580.866666666667,9062.883333333333,7715.266666666667,10331.125,9726.425000000001,8215.05
NP_001349.2,4743.7,4158.75,4667.383333333334,4873.708333333333,4227.916666666667,4589.791666666666,4667.383333333334,4093.8666666666663,4449.1916666666675,4811.591666666666,3950.491666666667,4589.791666666666
NP_001753.1,4715.533333333334,6633.600000000001,7973.575,4423.858333333333,6092.308333333334,7593.208333333333,4227.916666666667,5752.766666666667,7279.5250000000015,4667.383333333334,6428.233333333333,7884.566666666668
NP_001091.1,4291.208333333333,3665.991666666667,4589.791666666666,5287.508333333334,4158.75,5287.508333333334,5287.508333333334,4158.75,5658.883333333334,4093.8666666666663,3552.2666666666664,4227.916666666667
NP_057212.1,2498.1749999999997,2808.4,3434.958333333334,2498.1749999999997,2312.6083333333336,3434.958333333334,2706.2833333333333,2706.2833333333333,3434.958333333334,2808.4,2808.4,3434.958333333334
NP_002799.3,3988.2833333333333,2967.4833333333336,2967.4833333333336,3837.2499999999995,2808.4,2967.4833333333336,3738.2000000000007,2808.4,2706.2833333333333,3884.9500000000007,2312.6083333333336,3091.4250000000006
NP_003671.1,6197.083333333333,5509.866666666666,5396.625,6092.308333333334,5396.625,4933.15,5450.191666666667,5180.733333333333,4516.408333333334,5882.558333333333,5329.925,5083.916666666667
NP_036450.1,4227.916666666667,4291.208333333333,3884.9500000000007,4743.7,4743.7,4811.591666666666,5083.916666666667,5083.916666666667,5287.508333333334,4050.25,4158.75,4050.25
NP_000393.4,4423.858333333333,4743.7,5576.275000000001,4516.408333333334,4715.533333333334,5329.925,4291.208333333333,4291.208333333333,4715.533333333334,4158.75,4449.1916666666675,5287.508333333334
NP_000998.1,13766.699999999999,12761.858333333332,14020.833333333334,12761.858333333332,12470.074999999999,13114.6,11992.16666666667,11835.199999999999,12244.833333333334,14020.833333333334,12470.074999999999,14020.833333333334
